Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
sym_mig_size	Round_2_Replicate_12	-687.9	1389.8	1029.66	233.51	1.9639,0.6938,0.3973,0.4179,0.1898,3.7969,0.924
sym_mig_size	Round_2_Replicate_13	-616.29	1246.58	694.58	164.76	2.54,2.9006,0.2663,0.3739,0.2274,4.3016,0.2661
sym_mig_size	Round_2_Replicate_14	-991.67	1997.34	1741.2	303.75	0.34,0.8096,0.1648,0.5707,0.4259,2.4576,0.1939
sym_mig_size	Round_2_Replicate_15	-1033.48	2080.96	2207.49	336.33	1.9802,0.4772,0.1357,0.4637,0.2295,1.3546,1.8222
sym_mig_size	Round_2_Replicate_16	-1612.49	3238.98	6089.73	508.02	1.3603,0.288,0.1023,0.096,0.1752,1.6728,0.536
sym_mig_size	Round_2_Replicate_17	-753.45	1520.9	1394.66	343.27	0.4632,0.8456,0.4349,0.2616,0.1385,1.1004,0.7937
sym_mig_size	Round_2_Replicate_18	-671.44	1356.88	927.16	615.82	2.4602,0.7853,0.2017,0.1619,0.6377,1.8287,3.1989
sym_mig_size	Round_2_Replicate_19	-782.45	1578.9	1104.4	430.87	0.377,3.0968,0.2973,0.2425,0.7399,1.6133,1.059
sym_mig_size	Round_2_Replicate_20	-1026.89	2067.78	2700.94	675.49	1.6925,0.4724,0.3264,0.0625,0.9423,0.4398,1.3299
sym_mig_size	Round_3_Replicate_1	-625.71	1265.42	700.35	62.2	9.7618,4.4354,0.2015,0.5085,0.1272,14.1621,0.1773
sym_mig_size	Round_3_Replicate_2	-631.34	1276.68	782.35	162.45	1.0639,4.1084,0.4488,0.4881,0.0901,3.2479,0.2744
sym_mig_size	Round_3_Replicate_3	-648.69	1311.38	761.55	321.49	3.3555,5.0606,0.1309,0.217,0.4239,1.0973,0.1743
sym_mig_size	Round_3_Replicate_4	-633.44	1280.88	798.89	124.83	1.6828,1.5853,0.7952,0.6502,0.1533,9.6398,0.5613
sym_mig_size	Round_3_Replicate_5	-925.51	1865.02	2160.82	156.36	7.7017,1.6828,0.6629,0.1747,0.1286,2.8023,0.2207
sym_mig_size	Round_3_Replicate_6	-770.82	1555.64	1280.03	629.53	8.5883,7.7875,0.119,0.1196,0.8083,1.1621,0.7801
sym_mig_size	Round_3_Replicate_7	-928.24	1870.48	2325.12	107.14	8.9121,1.6632,0.2857,0.1204,0.4834,13.0397,0.1535
sym_mig_size	Round_3_Replicate_8	-558.11	1130.22	569.37	123.22	2.2191,2.106,0.1942,0.5474,0.0797,5.1716,0.0943
sym_mig_size	Round_3_Replicate_9	-1991.41	3996.82	64002.36	122.4	4.5314,11.3544,0.3948,0.8453,0.5866,1.8188,0.1677
sym_mig_size	Round_3_Replicate_10	-1095.81	2205.62	3194.23	79.19	7.4286,1.0302,0.9133,0.228,0.065,8.3596,0.1502
sym_mig_size	Round_3_Replicate_11	-797.95	1609.9	1102.8	171.9	1.2119,1.8223,0.3833,0.6658,0.2856,5.5022,0.5118
sym_mig_size	Round_3_Replicate_12	-1074.51	2163.02	2587.84	133.4	5.0088,3.3266,0.1522,0.8747,0.0839,4.6995,0.3786
sym_mig_size	Round_3_Replicate_13	-752.0	1518.0	1183.01	273.91	0.7546,0.7173,0.1288,0.3436,0.2027,3.7056,0.1551
sym_mig_size	Round_3_Replicate_14	-925.62	1865.24	1660.3	239.63	4.5785,7.8562,0.1238,0.3219,0.5282,2.5138,0.3263
sym_mig_size	Round_3_Replicate_15	-942.96	1899.92	1877.2	266.85	0.6547,1.6873,0.8837,0.1967,0.5135,2.1169,0.3122
sym_mig_size	Round_3_Replicate_16	-1266.04	2546.08	3333.0	156.68	1.6757,1.2326,0.173,0.9455,0.5454,7.2728,0.1799
sym_mig_size	Round_3_Replicate_17	-2211.09	4436.18	33069.81	95.26	0.9191,9.2745,0.2511,1.2809,0.6779,5.5184,0.1559
sym_mig_size	Round_3_Replicate_18	-585.5	1185.0	686.76	246.68	0.6682,2.4568,0.4959,0.2457,0.1676,1.9979,0.1902
sym_mig_size	Round_3_Replicate_19	-1012.91	2039.82	2119.33	122.44	1.2977,5.023,0.7414,0.8608,0.3264,7.6503,0.8832
sym_mig_size	Round_3_Replicate_20	-611.45	1236.9	867.96	142.14	2.8517,1.8692,0.4861,0.2721,0.1355,4.6038,0.1769
sym_mig_size	Round_3_Replicate_21	-1414.38	2842.76	4771.97	168.71	8.5147,1.0213,0.3261,0.9422,0.6074,4.6493,0.7798
sym_mig_size	Round_3_Replicate_22	-712.62	1439.24	1017.8	150.41	0.8879,0.9742,0.2126,0.7604,0.1049,8.3955,0.1058
sym_mig_size	Round_3_Replicate_23	-1043.87	2101.74	1905.47	266.64	0.7772,1.0895,0.2578,0.811,0.3658,1.1315,0.8405
sym_mig_size	Round_3_Replicate_24	-826.04	1666.08	1198.62	77.62	5.7587,6.0964,0.16,1.031,0.0566,5.4835,0.1323
sym_mig_size	Round_3_Replicate_25	-794.89	1603.78	1455.89	119.12	1.7761,11.6604,0.9556,0.3655,0.2773,8.48,0.7426
