Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, T1, T2)
no_mig_size	Round_4_Replicate_4	-634.39	1280.78	903.94	471.36	0.9308,2.0915,0.252,0.2286,0.0753,0.2407
no_mig_size	Round_4_Replicate_5	-627.31	1266.62	901.98	480.49	1.03,1.6952,0.1817,0.2092,0.1669,0.1893
no_mig_size	Round_4_Replicate_6	-628.45	1268.9	1031.74	537.8	1.5332,1.5463,0.1772,0.1202,0.139,0.1484
no_mig_size	Round_4_Replicate_7	-743.88	1499.76	1009.56	419.42	1.183,2.527,0.2478,0.3436,0.0592,0.2261
no_mig_size	Round_4_Replicate_8	-737.92	1487.84	1855.59	545.27	1.4522,6.4759,0.2336,0.1555,0.064,0.2871
no_mig_size	Round_4_Replicate_9	-608.73	1229.46	846.61	496.59	2.2032,3.3027,0.1437,0.161,0.2115,0.1503
no_mig_size	Round_4_Replicate_10	-632.01	1276.02	976.55	448.72	1.0966,2.5513,0.2651,0.2253,0.1654,0.2451
no_mig_size	Round_4_Replicate_11	-663.3	1338.6	942.77	477.7	2.2731,4.7754,0.193,0.266,0.0591,0.2416
no_mig_size	Round_4_Replicate_12	-647.81	1307.62	1050.84	547.36	2.2467,1.6699,0.1968,0.1212,0.0674,0.1562
no_mig_size	Round_4_Replicate_13	-630.91	1273.82	968.68	440.78	1.6117,3.7207,0.2609,0.2319,0.182,0.2514
no_mig_size	Round_4_Replicate_14	-676.38	1364.76	1257.51	440.02	0.787,1.8602,0.1975,0.2512,0.2894,0.2281
no_mig_size	Round_4_Replicate_15	-611.77	1235.54	864.24	548.87	0.9372,1.8865,0.169,0.1529,0.061,0.1666
no_mig_size	Round_4_Replicate_16	-665.1	1342.2	1094.07	462.3	2.8303,1.7011,0.1758,0.2572,0.1865,0.236
no_mig_size	Round_4_Replicate_17	-733.21	1478.42	992.26	426.27	0.7785,4.3704,0.2458,0.3065,0.0769,0.2048
no_mig_size	Round_4_Replicate_18	-658.79	1329.58	934.95	411.09	2.2546,2.8222,0.2679,0.3128,0.1551,0.2787
no_mig_size	Round_4_Replicate_19	-690.63	1393.26	1077.78	432.81	1.5541,2.692,0.2325,0.3372,0.083,0.3055
no_mig_size	Round_4_Replicate_20	-607.35	1226.7	809.82	549.0	0.7829,2.6986,0.1485,0.1335,0.0942,0.1323
no_mig_size	Round_4_Replicate_21	-674.14	1360.28	1177.1	468.6	0.896,3.2391,0.3313,0.192,0.0671,0.2721
no_mig_size	Round_4_Replicate_22	-626.8	1265.6	933.46	497.89	1.0819,2.7326,0.2326,0.196,0.0676,0.2265
no_mig_size	Round_4_Replicate_23	-633.4	1278.8	958.32	441.69	1.1218,4.9468,0.2812,0.2173,0.1749,0.2395
no_mig_size	Round_4_Replicate_24	-617.95	1247.9	824.98	513.3	1.6232,3.9496,0.1834,0.1596,0.0971,0.1603
no_mig_size	Round_4_Replicate_25	-781.14	1574.28	1135.73	429.21	2.055,5.8211,0.1591,0.351,0.1053,0.2069
no_mig_size	Round_4_Replicate_26	-808.07	1628.14	1513.83	485.24	1.245,1.6202,0.1282,0.2976,0.0926,0.2249
no_mig_size	Round_4_Replicate_27	-635.47	1282.94	1055.1	500.19	2.7491,3.6699,0.2195,0.1471,0.1515,0.1906
no_mig_size	Round_4_Replicate_28	-615.04	1242.08	906.1	522.8	1.1495,4.6602,0.1904,0.1646,0.0935,0.1872
no_mig_size	Round_4_Replicate_29	-636.78	1285.56	1011.67	419.82	2.4443,3.0976,0.273,0.2589,0.2162,0.2776
no_mig_size	Round_4_Replicate_30	-621.06	1254.12	893.32	478.16	0.8326,3.5868,0.231,0.1837,0.1476,0.1931
no_mig_size	Round_4_Replicate_31	-710.28	1432.56	969.52	388.33	1.3464,5.9013,0.2812,0.3362,0.168,0.2382
no_mig_size	Round_4_Replicate_32	-631.35	1274.7	932.73	453.64	0.933,2.2525,0.268,0.2117,0.1549,0.2231
no_mig_size	Round_4_Replicate_33	-710.88	1433.76	1243.04	509.69	0.7515,4.5491,0.2727,0.1137,0.0885,0.1524
no_mig_size	Round_4_Replicate_34	-624.95	1261.9	875.57	477.12	1.0045,5.416,0.2083,0.2079,0.1346,0.2048
no_mig_size	Round_4_Replicate_35	-663.44	1338.88	1071.9	408.48	1.2857,1.7305,0.264,0.3204,0.2002,0.2947
no_mig_size	Round_4_Replicate_36	-609.0	1230.0	888.55	515.59	1.4019,6.153,0.1547,0.1526,0.1747,0.1599
no_mig_size	Round_4_Replicate_37	-630.99	1273.98	912.96	478.91	0.9823,1.6708,0.2491,0.1887,0.1113,0.2028
no_mig_size	Round_4_Replicate_38	-650.88	1313.76	1054.36	440.57	0.9233,1.7172,0.3237,0.2176,0.1489,0.257
no_mig_size	Round_4_Replicate_39	-609.92	1231.84	870.32	563.52	0.914,1.5738,0.1536,0.1442,0.0626,0.157
no_mig_size	Round_4_Replicate_40	-704.41	1420.82	966.96	429.16	1.7694,4.728,0.2142,0.3349,0.09,0.2501
