Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12a, m21a, m12b, m21b, T1, T2)
asym_mig_twoepoch	Round_4_Replicate_2	-670.0	1356.0	801.72	1503.67	0.0633,0.1151,0.0424,7.1756,3.1806,0.1673,0.1739,3.5572
asym_mig_twoepoch	Round_4_Replicate_3	-677.43	1370.86	785.0	1949.38	0.0485,0.0939,0.1591,9.6949,4.5112,0.2271,0.1505,3.3154
asym_mig_twoepoch	Round_4_Replicate_4	-646.73	1309.46	761.38	1110.88	0.0845,0.1414,0.0966,4.894,2.0417,0.338,0.1157,3.293
asym_mig_twoepoch	Round_4_Replicate_5	-682.53	1381.06	812.28	1609.89	0.0561,0.1155,0.1002,8.7619,3.6657,0.1222,0.086,8.6947
asym_mig_twoepoch	Round_4_Replicate_6	-662.47	1340.94	746.11	1344.72	0.0721,0.1271,0.0699,5.8567,2.8952,0.4074,0.1095,3.1403
asym_mig_twoepoch	Round_4_Replicate_7	-748.67	1513.34	1024.45	1559.35	0.0866,0.1,0.0594,5.819,3.8318,0.4173,0.0872,5.4713
asym_mig_twoepoch	Round_4_Replicate_8	-667.42	1350.84	818.28	1714.48	0.0565,0.0962,0.1404,8.9639,3.4295,0.2066,0.1089,5.9005
asym_mig_twoepoch	Round_4_Replicate_9	-699.81	1415.62	852.06	2103.63	0.0472,0.0883,0.1799,12.8072,5.1104,0.1407,0.2194,3.9227
asym_mig_twoepoch	Round_4_Replicate_10	-710.56	1437.12	1080.6	1143.8	0.0826,0.1127,0.0443,5.5662,1.7526,0.1661,0.0823,1.9194
asym_mig_twoepoch	Round_4_Replicate_11	-689.37	1394.74	810.21	1283.85	0.0808,0.1395,0.1669,7.555,3.1013,0.19,0.0605,2.2439
asym_mig_twoepoch	Round_4_Replicate_12	-664.04	1344.08	805.52	1515.87	0.0566,0.1131,0.0399,10.1425,2.9664,0.2033,0.1996,2.1983
asym_mig_twoepoch	Round_4_Replicate_13	-660.43	1336.86	765.12	963.57	0.0882,0.185,0.0616,7.6839,1.9966,0.1612,0.1514,6.1045
asym_mig_twoepoch	Round_4_Replicate_14	-651.22	1318.44	762.5	1358.77	0.0697,0.1201,0.0675,5.0176,2.6536,0.3039,0.1902,6.634
asym_mig_twoepoch	Round_4_Replicate_15	-670.68	1357.36	792.75	1215.76	0.0744,0.1472,0.0656,12.3047,2.6193,0.1292,0.1102,5.4222
asym_mig_twoepoch	Round_4_Replicate_16	-763.54	1543.08	1131.67	1610.15	0.0953,0.0805,0.1433,4.4136,3.4944,0.4161,0.0627,1.7102
asym_mig_twoepoch	Round_4_Replicate_17	-683.41	1382.82	802.67	1772.42	0.0411,0.1115,0.1161,10.9799,3.9636,0.2052,0.0508,2.5221
asym_mig_twoepoch	Round_4_Replicate_18	-671.13	1358.26	794.32	1373.92	0.0682,0.1286,0.0905,8.6169,2.974,0.1507,0.1716,3.3818
asym_mig_twoepoch	Round_4_Replicate_19	-669.06	1354.12	803.83	1779.08	0.0488,0.0994,0.1092,6.8619,3.6692,0.192,0.0452,2.1416
asym_mig_twoepoch	Round_4_Replicate_20	-668.09	1352.18	825.04	1324.97	0.0686,0.1266,0.0398,4.6996,2.5972,0.1495,0.0605,5.9078
asym_mig_twoepoch	Round_4_Replicate_21	-695.63	1407.26	804.53	1159.74	0.0685,0.1765,0.1816,7.4724,2.9015,0.0849,0.1079,6.5821
asym_mig_twoepoch	Round_4_Replicate_22	-697.6	1411.2	798.9	1044.39	0.0937,0.1763,0.1007,9.2959,2.6082,0.3167,0.0472,4.2148
asym_mig_twoepoch	Round_4_Replicate_23	-760.85	1537.7	984.99	1318.01	0.0407,0.1702,0.032,3.7724,3.3571,0.2992,0.0706,6.0232
asym_mig_twoepoch	Round_4_Replicate_24	-656.91	1329.82	804.52	2375.99	0.0394,0.0671,0.0383,12.1995,4.4461,0.41,0.1072,4.977
asym_mig_twoepoch	Round_4_Replicate_25	-669.81	1355.62	817.22	1911.88	0.046,0.0907,0.0488,4.1067,3.8572,0.2,0.0461,2.0442
asym_mig_twoepoch	Round_4_Replicate_26	-646.22	1308.44	803.17	1144.28	0.0872,0.1224,0.1349,4.5465,1.9037,0.4167,0.1904,1.8237
asym_mig_twoepoch	Round_4_Replicate_27	-684.22	1384.44	827.0	1804.0	0.0495,0.1026,0.072,6.7361,4.0384,0.1187,0.0733,3.0268
asym_mig_twoepoch	Round_4_Replicate_28	-650.31	1316.62	758.35	1183.61	0.0828,0.1354,0.0567,6.3109,2.3107,0.3024,0.0665,3.6858
asym_mig_twoepoch	Round_4_Replicate_29	-729.92	1475.84	1012.8	1350.93	0.0956,0.1122,0.0308,4.3583,2.969,0.1237,0.2256,3.8583
asym_mig_twoepoch	Round_4_Replicate_30	-649.44	1314.88	760.2	1342.99	0.0676,0.1214,0.0455,11.2074,2.5669,0.3435,0.0482,2.2669
asym_mig_twoepoch	Round_4_Replicate_31	-674.95	1365.9	823.31	1471.31	0.0597,0.1206,0.0692,3.5352,3.0604,0.1272,0.0619,2.64
asym_mig_twoepoch	Round_4_Replicate_32	-669.55	1355.1	817.91	1679.61	0.0542,0.1019,0.1501,5.3656,3.3937,0.1764,0.1135,5.3596
asym_mig_twoepoch	Round_4_Replicate_33	-653.57	1323.14	785.57	1737.26	0.0511,0.0941,0.1387,4.4406,3.2492,0.3516,0.0838,4.699
asym_mig_twoepoch	Round_4_Replicate_34	-662.85	1341.7	768.35	1948.73	0.0478,0.0897,0.1524,10.9662,4.1586,0.2954,0.1448,4.5742
asym_mig_twoepoch	Round_4_Replicate_35	-689.83	1395.66	772.89	976.61	0.0891,0.1928,0.1149,4.0772,2.3908,0.3174,0.1424,1.9984
asym_mig_twoepoch	Round_4_Replicate_36	-746.67	1509.34	1136.68	1052.26	0.0614,0.1535,0.056,3.2199,1.647,0.1168,0.0741,4.3983
asym_mig_twoepoch	Round_4_Replicate_37	-670.11	1356.22	889.05	993.57	0.0988,0.1468,0.1394,10.4632,1.7135,0.1548,0.0644,5.9431
asym_mig_twoepoch	Round_4_Replicate_38	-650.88	1317.76	750.75	1163.79	0.0825,0.1394,0.067,5.843,2.3232,0.321,0.1214,1.9737
asym_mig_twoepoch	Round_4_Replicate_39	-738.43	1492.86	1101.7	1148.11	0.0554,0.1426,0.121,9.8293,1.8077,0.1572,0.0944,5.5236
asym_mig_twoepoch	Round_4_Replicate_40	-657.78	1331.56	772.41	2198.65	0.0414,0.0776,0.0791,9.2318,4.4469,0.3632,0.0616,2.2488
