Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T1, T2)
sec_contact_sym_mig	Round_4_Replicate_26	-616.35	1242.7	809.24	451.03	0.3306,0.2743,0.1187,0.123,0.3361
sec_contact_sym_mig	Round_4_Replicate_27	-604.15	1218.3	769.32	503.32	0.249,0.2308,0.1319,0.1273,0.2039
sec_contact_sym_mig	Round_4_Replicate_28	-613.51	1237.02	748.39	439.61	0.3498,0.2834,0.1581,0.2277,0.2229
sec_contact_sym_mig	Round_4_Replicate_29	-615.94	1241.88	792.11	451.87	0.3539,0.2553,0.1879,0.2213,0.2677
sec_contact_sym_mig	Round_4_Replicate_30	-622.55	1255.1	788.09	405.04	0.3836,0.3376,0.1315,0.2318,0.3905
sec_contact_sym_mig	Round_4_Replicate_31	-641.79	1293.58	807.34	404.71	0.324,0.3869,0.1351,0.3895,0.1928
sec_contact_sym_mig	Round_4_Replicate_32	-596.87	1203.74	775.66	553.69	0.204,0.1841,0.1608,0.093,0.174
sec_contact_sym_mig	Round_4_Replicate_33	-619.57	1249.14	754.15	412.45	0.3964,0.3138,0.1598,0.0719,0.505
sec_contact_sym_mig	Round_4_Replicate_34	-618.15	1246.3	771.18	468.15	0.2743,0.2745,0.0942,0.1041,0.2465
sec_contact_sym_mig	Round_4_Replicate_35	-709.27	1428.54	867.84	376.19	0.3768,0.4446,0.1191,0.1997,0.226
sec_contact_sym_mig	Round_4_Replicate_36	-662.86	1335.72	847.11	389.0	0.3757,0.3996,0.0533,0.0837,0.3765
sec_contact_sym_mig	Round_4_Replicate_37	-612.8	1235.6	749.33	458.26	0.307,0.274,0.1268,0.0686,0.3243
sec_contact_sym_mig	Round_4_Replicate_38	-651.18	1312.36	922.12	432.37	0.3003,0.3372,0.0453,0.1239,0.2955
sec_contact_sym_mig	Round_4_Replicate_39	-601.49	1212.98	766.62	521.04	0.2312,0.2186,0.1652,0.1388,0.1902
sec_contact_sym_mig	Round_4_Replicate_40	-698.54	1407.08	1203.3	443.84	0.4342,0.215,0.0782,0.0479,0.4118
