Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
sec_contact_sym_mig_size	Round_4_Replicate_1	-605.15	1224.3	757.98	48.62	23.7485,3.4127,0.3569,1.6776,0.1852,11.1527,0.1828
sec_contact_sym_mig_size	Round_4_Replicate_2	-552.82	1119.64	553.25	83.27	16.7725,2.884,0.3076,0.9417,0.2104,7.4005,0.2916
sec_contact_sym_mig_size	Round_4_Replicate_3	-581.49	1176.98	651.2	80.65	24.0037,3.0635,0.4085,0.9563,0.2236,6.9972,0.3395
sec_contact_sym_mig_size	Round_4_Replicate_4	-615.95	1245.9	668.83	37.93	16.8707,4.9036,0.363,1.9038,0.2137,17.6271,0.2339
sec_contact_sym_mig_size	Round_4_Replicate_5	-562.27	1138.54	723.1	37.39	22.609,4.9496,0.3196,2.064,0.116,16.1306,0.1885
sec_contact_sym_mig_size	Round_4_Replicate_6	-506.56	1027.12	509.13	52.19	14.3397,5.438,0.4661,1.247,0.0946,11.7835,0.3387
sec_contact_sym_mig_size	Round_4_Replicate_7	-519.26	1052.52	550.07	36.54	24.2845,5.9563,0.3227,1.4365,0.1435,16.7477,0.2013
sec_contact_sym_mig_size	Round_4_Replicate_8	-502.49	1018.98	629.62	47.14	12.0731,4.9898,0.4581,0.7907,0.1044,12.7679,0.1835
sec_contact_sym_mig_size	Round_4_Replicate_9	-651.98	1317.96	1442.33	48.44	14.0239,3.4035,0.2438,2.6127,0.0806,12.2172,0.1299
sec_contact_sym_mig_size	Round_4_Replicate_10	-560.83	1135.66	592.61	49.07	5.9401,4.5359,0.5389,1.3233,0.2049,13.3065,0.1892
sec_contact_sym_mig_size	Round_4_Replicate_11	-475.25	964.5	475.87	30.93	20.9115,8.8507,0.4028,0.9131,0.1326,21.5823,0.2317
sec_contact_sym_mig_size	Round_4_Replicate_12	-585.84	1185.68	626.81	60.63	14.7198,2.9964,0.3855,1.8249,0.1342,10.4495,0.3167
sec_contact_sym_mig_size	Round_4_Replicate_13	-503.12	1020.24	526.05	45.48	17.532,6.3167,0.3124,0.9914,0.1185,14.7419,0.2545
sec_contact_sym_mig_size	Round_4_Replicate_14	-571.64	1157.28	658.26	64.27	8.3478,2.7815,0.6029,1.061,0.2029,9.6868,0.2695
sec_contact_sym_mig_size	Round_4_Replicate_15	-484.75	983.5	514.41	45.35	15.0216,5.976,0.2727,0.7565,0.148,13.7209,0.1592
sec_contact_sym_mig_size	Round_4_Replicate_16	-500.92	1015.84	546.35	29.72	17.5903,7.2836,0.612,1.6989,0.0891,22.4887,0.3101
sec_contact_sym_mig_size	Round_4_Replicate_17	-506.56	1027.12	535.08	30.5	17.8678,7.0371,0.7165,1.8946,0.0871,21.1309,0.3523
sec_contact_sym_mig_size	Round_4_Replicate_18	-531.12	1076.24	522.81	59.77	18.9761,4.6137,0.3983,1.0482,0.1666,10.6743,0.3469
sec_contact_sym_mig_size	Round_4_Replicate_19	-501.31	1016.62	577.73	47.74	29.9432,6.5736,0.4503,0.7451,0.1097,14.1769,0.3609
sec_contact_sym_mig_size	Round_4_Replicate_20	-502.77	1019.54	496.04	74.64	13.874,3.5082,0.2128,0.7301,0.196,8.222,0.1723
sec_contact_sym_mig_size	Round_4_Replicate_21	-489.52	993.04	498.16	30.41	28.4174,7.9327,0.4237,1.318,0.1094,21.9576,0.2893
sec_contact_sym_mig_size	Round_4_Replicate_22	-599.44	1212.88	825.29	60.55	10.4387,2.8736,0.7944,0.733,0.166,9.0069,0.225
sec_contact_sym_mig_size	Round_4_Replicate_23	-507.07	1028.14	538.63	55.17	13.2834,5.633,0.5974,0.8906,0.1182,11.9359,0.4129
sec_contact_sym_mig_size	Round_4_Replicate_24	-583.76	1181.52	738.48	38.36	12.1523,5.1644,0.3113,2.2069,0.1441,16.1931,0.1561
sec_contact_sym_mig_size	Round_4_Replicate_25	-493.08	1000.16	528.58	50.3	10.4309,4.5631,0.4172,0.9768,0.1335,12.6318,0.2042
sec_contact_sym_mig_size	Round_4_Replicate_26	-610.37	1234.74	696.0	26.71	29.9375,6.0605,0.2696,1.4791,0.273,27.3517,0.1823
sec_contact_sym_mig_size	Round_4_Replicate_27	-609.34	1232.68	1059.11	39.87	13.4366,4.6743,0.3039,2.5018,0.0781,15.9918,0.1762
sec_contact_sym_mig_size	Round_4_Replicate_28	-635.39	1284.78	1009.5	51.16	29.2684,3.2551,0.385,0.747,0.1492,16.7282,0.4087
sec_contact_sym_mig_size	Round_4_Replicate_29	-593.72	1201.44	783.4	53.95	7.5445,3.0064,0.76,2.1297,0.1119,10.6361,0.2429
sec_contact_sym_mig_size	Round_4_Replicate_30	-538.12	1090.24	601.09	40.98	16.8878,5.1525,0.5868,1.8455,0.0959,13.7076,0.2816
sec_contact_sym_mig_size	Round_4_Replicate_31	-536.42	1086.84	652.43	26.23	18.7876,8.1552,0.656,2.6927,0.0696,23.448,0.3048
sec_contact_sym_mig_size	Round_4_Replicate_32	-498.33	1010.66	627.77	34.5	18.0419,9.0435,0.5768,0.7675,0.0776,19.9655,0.3151
sec_contact_sym_mig_size	Round_4_Replicate_33	-523.91	1061.82	524.44	40.13	15.6416,5.4472,0.3008,1.1576,0.2155,16.0362,0.1728
sec_contact_sym_mig_size	Round_4_Replicate_34	-517.63	1049.26	515.03	36.56	10.0353,6.7106,0.637,1.5285,0.1326,17.4158,0.2602
sec_contact_sym_mig_size	Round_4_Replicate_35	-748.45	1510.9	919.64	85.25	14.1159,2.6688,0.3497,1.8705,0.213,6.2002,0.3764
sec_contact_sym_mig_size	Round_4_Replicate_36	-496.84	1007.68	487.09	41.44	9.3609,6.9533,0.6917,0.9063,0.1645,15.2115,0.25
sec_contact_sym_mig_size	Round_4_Replicate_37	-545.49	1104.98	644.16	30.26	22.0592,6.1451,0.47,2.0952,0.1189,20.2529,0.2283
sec_contact_sym_mig_size	Round_4_Replicate_38	-481.59	977.18	473.51	37.52	18.9981,8.0069,0.4334,0.8551,0.1391,16.9564,0.2512
sec_contact_sym_mig_size	Round_4_Replicate_39	-663.25	1340.5	757.25	44.58	27.414,5.9914,0.3469,1.5926,0.2045,15.4278,0.3993
sec_contact_sym_mig_size	Round_4_Replicate_40	-507.68	1029.36	633.94	40.42	7.765,5.632,0.7957,0.7611,0.1297,17.4888,0.2114
