Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2, T3)
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_23	-964.83	1947.66	2113.88	282.95	0.6506,0.1524,0.214,0.8154,0.4786,0.1616,0.0337,2.0253,0.1499
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_24	-1135.19	2288.38	2204.97	214.78	0.2262,0.5607,0.2516,1.3773,0.4111,0.2244,0.2528,1.7491,0.1057
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_25	-1525.27	3068.54	7664.54	150.46	0.33,0.3281,1.0415,2.4983,1.1247,0.2831,0.0602,0.8246,0.384
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_26	-1017.44	2052.88	2313.23	259.2	0.1574,0.0459,1.4617,0.3201,0.2539,0.2475,0.0928,0.984,0.1812
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_27	-1341.68	2701.36	28040.28	304.95	1.872,0.3018,0.754,0.2818,0.2401,0.2706,0.2086,0.4711,0.7648
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_28	-2318.07	4654.14	228302.94	173.78	0.3777,0.0858,0.2023,2.6656,0.5664,0.7503,0.065,0.3231,1.1008
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_29	-885.05	1788.1	1384.26	183.98	1.0464,0.1357,0.9873,1.3926,0.2731,0.1592,0.1683,1.0394,0.3131
sec_contact_asym_mig_size_three_epoch	Round_3_Replicate_30	-1208.66	2435.32	3304.12	198.1	0.26,0.2372,2.0789,0.2502,0.2111,1.4494,0.0389,1.9986,0.3679
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_1	-799.36	1616.72	1171.88	310.03	0.1147,0.1898,0.7292,0.6613,0.7805,0.4217,0.2614,0.3307,0.2323
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_2	-700.24	1418.48	1002.06	346.81	0.2417,0.3783,0.6614,0.3422,0.3371,0.4054,0.4495,0.5135,0.0834
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_3	-1045.51	2109.02	2473.03	300.46	0.2807,0.319,0.8417,0.5373,1.0087,0.3816,0.188,0.462,0.1006
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_4	-720.06	1458.12	893.17	386.12	0.2267,0.3039,0.3511,0.5786,0.6057,0.2226,0.3479,0.1591,0.0531
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_5	-864.29	1746.58	2786.85	453.96	0.1683,0.2408,0.3112,0.2519,0.3612,0.2068,0.3248,0.599,0.1261
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_6	-733.47	1484.94	1081.84	359.89	0.1697,0.2877,0.6339,0.4231,0.6142,0.2362,0.1874,0.2624,0.1533
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_7	-655.88	1329.76	912.92	427.95	0.3411,0.331,0.323,0.3349,0.674,0.3515,0.1913,0.1942,0.1117
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_8	-760.09	1538.18	1048.32	287.22	0.2597,0.6043,0.5851,0.6529,0.9939,0.1315,0.3855,0.5638,0.1753
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_9	-711.47	1440.94	903.14	358.51	0.3361,0.318,0.3731,0.5711,0.586,0.2312,0.2602,0.2615,0.1015
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_10	-733.36	1484.72	1043.8	391.14	0.1268,0.5192,0.6858,0.2881,0.4332,0.2287,0.2172,0.3603,0.0499
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_11	-755.38	1528.76	990.41	344.9	0.1219,0.3354,0.4167,0.6157,0.8732,0.2683,0.2072,0.3497,0.1412
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_12	-747.77	1513.54	962.21	285.07	0.261,0.4269,0.6599,0.5808,0.5931,0.3883,0.6179,0.6207,0.1172
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_13	-782.74	1583.48	1158.51	290.62	0.2466,0.5759,0.8397,0.4567,0.7134,0.1858,0.6245,0.5085,0.1182
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_14	-771.67	1561.34	1728.41	447.69	0.1572,0.3079,0.3993,0.2904,0.4168,0.1449,0.358,0.1807,0.091
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_15	-913.3	1844.6	1648.66	364.37	0.1915,0.181,0.8093,0.2609,0.7226,0.452,0.1718,0.5807,0.0858
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_16	-750.88	1519.76	1267.71	405.12	0.1853,0.3299,0.6352,0.2549,0.4189,0.3506,0.4768,0.2822,0.0648
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_17	-741.91	1501.82	1064.35	364.74	0.1791,0.4075,0.4585,0.5048,0.4944,0.2291,0.2042,0.1836,0.1329
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_18	-783.06	1584.12	1128.48	360.48	0.2194,0.3734,0.9214,0.3149,0.3552,0.3243,0.2666,0.2691,0.0672
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_19	-728.43	1474.86	1103.36	405.76	0.0957,0.2437,0.517,0.3392,1.135,0.3914,0.5572,0.2366,0.1072
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_20	-685.5	1389.0	926.33	309.41	0.3488,0.3422,0.5661,0.5209,0.3157,0.2978,0.3223,0.6867,0.1233
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_21	-759.03	1536.06	992.22	353.71	0.3309,0.3613,0.3061,0.6436,1.1865,0.3948,0.2921,0.2644,0.1541
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_22	-721.67	1461.34	886.2	382.59	0.2621,0.5516,0.2754,0.5021,1.0935,0.2075,0.2326,0.3116,0.084
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_23	-747.5	1513.0	944.0	325.8	0.1051,0.6173,0.514,0.5781,1.1063,0.3014,0.4742,0.266,0.1291
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_24	-679.04	1376.08	980.31	394.0	0.3065,0.1554,0.4338,0.3539,0.3681,0.3109,0.5503,0.3544,0.0451
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_25	-735.37	1488.74	1037.51	341.75	0.2069,0.1854,0.5653,0.569,0.5238,0.3125,0.2547,0.3198,0.1487
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_26	-799.48	1616.96	1440.78	351.29	0.0742,0.5086,0.8898,0.3148,0.3708,0.3644,0.3704,0.3929,0.1472
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_27	-813.53	1645.06	1251.8	365.05	0.1231,0.1826,0.6235,0.3846,0.8618,0.1809,0.2729,0.5721,0.0629
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_28	-873.54	1765.08	1549.58	384.71	0.2986,0.2571,0.6068,0.2543,1.0448,0.4298,0.4739,0.5476,0.0722
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_29	-688.76	1395.52	1069.38	378.0	0.199,0.2383,0.3767,0.4646,0.8292,0.1738,0.4001,0.4393,0.1297
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_30	-680.63	1379.26	885.04	391.07	0.2342,0.3959,0.3804,0.4224,1.2917,0.3792,0.3418,0.1811,0.1304
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_31	-765.7	1549.4	1046.69	308.29	0.2897,0.4917,0.4351,0.6591,1.2979,0.5066,0.2561,0.6424,0.2463
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_32	-719.03	1456.06	1205.82	396.6	0.0943,0.2825,0.3368,0.4131,0.3524,0.4471,0.1924,0.6587,0.1244
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_33	-658.4	1334.8	854.77	405.9	0.195,0.2345,0.3141,0.4082,1.0686,0.284,0.4549,0.6576,0.1026
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_34	-672.59	1363.18	925.36	362.74	0.161,0.4681,0.4861,0.3768,0.6787,0.4249,0.5213,0.4436,0.1202
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_35	-856.4	1730.8	1199.26	313.01	0.232,0.1905,0.822,0.6423,0.382,0.4283,0.2221,0.3152,0.0848
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_36	-715.03	1448.06	1067.95	342.35	0.2943,0.6129,0.4927,0.486,0.4504,0.1666,0.2598,0.2271,0.1583
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_37	-654.18	1326.36	927.67	475.57	0.2114,0.2801,0.3164,0.2603,1.0603,0.2165,0.1801,0.2088,0.0776
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_38	-765.27	1548.54	1156.4	388.76	0.2315,0.3047,0.8361,0.2852,0.4675,0.3993,0.2813,0.1646,0.0893
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_39	-717.43	1452.86	1236.85	407.49	0.2337,0.2704,0.4668,0.2581,0.3733,0.1897,0.3102,0.6471,0.0387
sec_contact_asym_mig_size_three_epoch	Round_4_Replicate_40	-760.16	1538.32	1053.35	339.87	0.2152,0.2934,0.697,0.5606,0.6274,0.1814,0.4314,0.2097,0.0987
