Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
anc_sym_mig_size	Round_4_Replicate_17	-604.86	1223.72	769.34	436.64	0.4992,3.4937,0.1379,0.1365,9.9603,1.2442,0.1308
anc_sym_mig_size	Round_4_Replicate_18	-602.8	1219.6	819.57	435.27	0.49,3.8487,0.1591,0.1534,15.6817,1.25,0.1629
anc_sym_mig_size	Round_4_Replicate_19	-669.82	1353.64	858.08	420.94	0.4732,7.3779,0.2121,0.2542,8.8771,0.4215,0.1976
anc_sym_mig_size	Round_4_Replicate_20	-598.13	1210.26	814.77	367.49	0.7545,3.9495,0.1789,0.1658,8.957,1.4146,0.1744
anc_sym_mig_size	Round_4_Replicate_21	-599.18	1212.36	839.06	425.28	0.8217,3.6002,0.1706,0.1546,12.055,0.7514,0.1671
anc_sym_mig_size	Round_4_Replicate_22	-658.91	1331.82	969.24	429.49	0.4031,6.555,0.1502,0.2161,29.279,1.458,0.2083
anc_sym_mig_size	Round_4_Replicate_23	-623.29	1260.58	925.47	382.89	0.6215,3.3668,0.284,0.2543,17.1734,0.7763,0.2902
anc_sym_mig_size	Round_4_Replicate_24	-684.49	1382.98	1388.23	433.55	0.5522,3.9631,0.189,0.1948,20.8486,1.1414,0.2772
anc_sym_mig_size	Round_4_Replicate_25	-616.02	1246.04	883.59	437.89	0.7765,3.6373,0.2254,0.2054,7.3681,0.4092,0.2221
anc_sym_mig_size	Round_4_Replicate_26	-608.61	1231.22	857.31	430.94	0.9048,9.7959,0.2043,0.1885,8.9148,0.4536,0.1996
anc_sym_mig_size	Round_4_Replicate_27	-611.96	1237.92	881.18	396.41	0.5142,10.0219,0.2314,0.2176,15.266,0.99,0.2417
anc_sym_mig_size	Round_4_Replicate_28	-612.23	1238.46	907.76	393.72	0.9737,6.3977,0.2377,0.2178,15.3519,0.5996,0.2431
anc_sym_mig_size	Round_4_Replicate_29	-614.28	1242.56	938.2	382.96	1.598,8.9169,0.2496,0.2199,13.7777,0.5363,0.249
anc_sym_mig_size	Round_4_Replicate_30	-593.74	1201.48	804.77	427.13	1.2332,3.5572,0.1255,0.1299,8.1793,0.7315,0.1296
anc_sym_mig_size	Round_4_Replicate_31	-614.44	1242.88	947.13	446.91	0.426,3.4543,0.2079,0.1702,13.5396,1.1909,0.2115
anc_sym_mig_size	Round_4_Replicate_32	-613.91	1241.82	884.99	389.64	1.3794,11.8985,0.2393,0.2208,9.3921,0.5064,0.2332
anc_sym_mig_size	Round_4_Replicate_33	-605.58	1225.16	833.62	391.3	0.6339,8.5342,0.2037,0.1997,12.2913,0.9478,0.2081
anc_sym_mig_size	Round_4_Replicate_34	-735.42	1484.84	1118.74	388.43	0.5583,6.4853,0.1552,0.3072,13.1292,0.7856,0.2257
anc_sym_mig_size	Round_4_Replicate_35	-714.66	1443.32	924.26	362.5	0.6036,7.8973,0.1414,0.2543,21.0374,0.9788,0.157
anc_sym_mig_size	Round_4_Replicate_36	-610.4	1234.8	795.74	443.36	0.7724,6.0382,0.1789,0.1711,22.4372,0.4477,0.1665
anc_sym_mig_size	Round_4_Replicate_37	-621.6	1257.2	861.99	433.07	1.4772,4.1646,0.1647,0.2058,15.5899,0.4146,0.193
anc_sym_mig_size	Round_4_Replicate_38	-615.78	1245.56	888.09	463.29	0.4338,5.3123,0.2141,0.1947,18.7506,0.5172,0.2194
anc_sym_mig_size	Round_4_Replicate_39	-633.7	1281.4	996.04	414.96	0.4767,3.6852,0.2977,0.2381,10.4059,0.5895,0.2908
anc_sym_mig_size	Round_4_Replicate_40	-607.63	1229.26	881.59	457.85	0.6392,7.6154,0.1786,0.1737,11.8131,0.5165,0.191
