Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T)
sym_mig	Round_4_Replicate_22	-599.8	1207.6	730.98	565.84	0.203,0.1832,0.3303,0.303
sym_mig	Round_4_Replicate_23	-592.39	1192.78	771.45	635.93	0.142,0.1234,0.3001,0.177
sym_mig	Round_4_Replicate_24	-601.44	1210.88	773.12	699.24	0.0943,0.0902,0.5104,0.1198
sym_mig	Round_4_Replicate_25	-615.64	1239.28	766.89	618.06	0.1724,0.1547,0.5236,0.2817
sym_mig	Round_4_Replicate_26	-610.34	1228.68	757.93	622.63	0.1644,0.1489,0.5051,0.2541
sym_mig	Round_4_Replicate_27	-598.44	1204.88	734.15	627.07	0.1454,0.1354,0.4121,0.1923
sym_mig	Round_4_Replicate_28	-600.26	1208.52	726.05	581.52	0.1856,0.1736,0.3585,0.2747
sym_mig	Round_4_Replicate_29	-630.45	1268.9	798.12	640.26	0.1646,0.1521,0.6112,0.3125
sym_mig	Round_4_Replicate_30	-600.82	1209.64	789.86	699.08	0.0967,0.0872,0.4969,0.1184
sym_mig	Round_4_Replicate_31	-601.65	1211.3	789.28	683.46	0.1171,0.1041,0.5148,0.1572
sym_mig	Round_4_Replicate_32	-615.01	1238.02	773.21	691.54	0.1098,0.1124,0.6348,0.1682
sym_mig	Round_4_Replicate_33	-601.65	1211.3	758.32	604.69	0.1787,0.151,0.4087,0.2523
sym_mig	Round_4_Replicate_34	-592.61	1193.22	745.95	583.94	0.1758,0.1638,0.2172,0.2322
sym_mig	Round_4_Replicate_35	-601.78	1211.56	766.58	557.28	0.2145,0.1646,0.2355,0.2419
sym_mig	Round_4_Replicate_36	-607.56	1223.12	789.41	694.14	0.1098,0.0993,0.613,0.148
sym_mig	Round_4_Replicate_37	-618.53	1245.06	835.5	722.87	0.0995,0.0859,0.773,0.134
sym_mig	Round_4_Replicate_38	-608.69	1225.38	796.0	671.18	0.1358,0.1205,0.5492,0.2065
sym_mig	Round_4_Replicate_39	-598.81	1205.62	774.76	594.74	0.1785,0.166,0.2766,0.2749
sym_mig	Round_4_Replicate_40	-604.93	1217.86	764.45	654.05	0.1376,0.1249,0.522,0.1957
